                           1                            2                            3                            4                            5 
              version_number                 initial_mass                    initial_z                    burn_min1                    burn_min2 
                       10398      2.0000000000000000E+000      2.0000000000000000E-002      5.0000000000000000E+001      1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63                                       64                                       65 
                            model_number                                 star_age                                star_mass                                time_step                                   log_dt                               log_xmstar                             log_abs_mdot                                num_zones                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                 log_Teff                                    log_L                                    log_R                                   radius                                    log_g                                  gravity                             log_center_T                           log_center_Rho                             log_center_P                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                               surface_h1                              surface_he4                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                             total_energy                       total_energy_start                        v_div_csound_surf                              num_retries                              num_backups                           version_number                                   L_spec                                   diff_L 
                                       1                  1.7677669529663690E+004                  1.9999999455593331E+000                  1.7677669529663690E+004                  4.2474250108400469E+000                  3.3599708434402523E+001                 -1.1511501573137684E+001                                     1053                  3.0360695457399689E-001                  1.4737105801917638E-001                  7.8132281089438038E-008                  9.9999999945149998E-001                  9.9999999842037746E-001                  1.4737105801917638E-001                  7.8132281089438038E-008                  9.9999999945149998E-001                  9.9999999842037746E-001                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  2.9384062350032576E+032                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.2217211565628567E+000                 -3.8017574672350797E+001                 -1.4148409796207115E+001                  1.2217211565628570E+000                  3.9568028255615006E+000                  1.2012376347247555E+000                  2.1027200269200338E-001                  1.6228261703316589E+000                  4.3183753318714588E+000                  2.0814948076867433E+004                  7.3258696619235222E+000                  1.8072692354709730E+000                  1.7260629939879149E+001                  6.2196815853474274E-001                  8.4797573422345840E-001                  1.3019897591928564E+000                  6.9596429574741858E-001                  2.8347913583720941E-001                  2.9351294674497820E-005                  9.1948851671541602E-003                  6.9999999995909779E-001                  2.7997020236474912E-001                  3.4416106108120111E-003                  9.3376729792513172E-003                  1.3983786971457515E+000                  5.6121096537804882E-001                 -9.0537223296631288E+048                 -9.0554014113663895E+048                  4.3500356897015864E-009                                        0                                        0                                    10398                  8.4004242152280328E-023                  5.2852262514550155E-024 
                                      10                  4.5888900380152819E+005                  1.9999985992029770E+000                  9.1212891908307764E+004                  4.9600562252686702E+000                  3.3599708142044847E+001                 -1.1513640351363335E+001                                      997                  2.8157748552299516E-001                  1.3775384967735782E-001                  7.8132334491165523E-008                  9.9999999943587503E-001                  9.9999999839757092E-001                  1.3775384967735782E-001                  7.8132334491165523E-008                  9.9999999943587503E-001                  9.9999999839757092E-001                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  2.8655844326189275E+032                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.2048141606352778E+000                 -3.8045457531506344E+001                 -9.8999999999999986E+001                  1.2048141606352778E+000                  3.9562277818609553E+000                  1.2020507534187674E+000                  2.1182864944010060E-001                  1.6286533219191772E+000                  4.3152617460175895E+000                  2.0666253200830510E+004                  7.3252944636752630E+000                  1.8060377288051750E+000                  1.7258751713711483E+001                  6.2206450391862600E-001                  8.4787584582273412E-001                  1.3022431824609046E+000                  6.9576465525208964E-001                  2.8368037296621823E-001                  2.9861544465383112E-005                  9.1860637776357452E-003                  6.9999999995907469E-001                  2.7997020236474840E-001                  3.4416106108119959E-003                  9.3376729792512964E-003                  1.3983055834254803E+000                  5.6127888686444327E-001                 -9.0401010941696583E+048                 -9.0411446811585892E+048                  1.4560465781559743E-009                                        0                                        0                                    10398                  8.4161725175960526E-023                  5.2852298093564951E-024 
                                      20                  3.3002087624783013E+006                  1.9999898342094118E+000                  5.6476618502110313E+005                  5.7518686857449177E+000                  3.3599706238745178E+001                 -1.1510418838611736E+001                                      997                  2.8439470379791304E-001                  1.4094914756569688E-001                  7.8132677217013224E-008                  9.9999999943587503E-001                  9.9999999839029163E-001                  1.4094914756569688E-001                  7.8132677217013224E-008                  9.9999999943587503E-001                  9.9999999839029163E-001                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  2.8872526159832123E+032                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.2049547087319950E+000                 -3.8028155523956002E+001                 -1.4449439791871097E+001                  1.2049547087319950E+000                  3.9564412279607657E+000                  1.2045110802527681E+000                  2.1263192065747813E-001                  1.6316684671893715E+000                  4.3136533002831614E+000                  2.0589855573078661E+004                  7.3255494777343451E+000                  1.8061873657450460E+000                  1.7258728029043848E+001                  6.2268438983796437E-001                  8.4723529074310133E-001                  1.3038716398514876E+000                  6.9448354755752884E-001                  2.8496854101022101E-001                  3.0160774051019735E-005                  9.1300391077930171E-003                  6.9999999995907458E-001                  2.7997020236474907E-001                  3.4416106108119968E-003                  9.3376729792512964E-003                  1.3978392582881294E+000                  5.6171693297017244E-001                 -9.0373049049345959E+048                 -9.0379263214646923E+048                  3.8419820799761108E-010                                        0                                        0                                    10398                  8.4640234777670613E-023                  5.2852529719768354E-024 
                                      30                  2.0892911799962044E+007                  1.9999351891452612E+000                  3.4968833579350598E+006                  6.5436811462211661E+000                  3.3599694372497844E+001                 -1.1505225615083853E+001                                      995                  2.9123083657962212E-001                  1.4416441428126958E-001                  7.8134812508956486E-008                  9.9999999942024997E-001                  9.9999999836061637E-001                  1.4416441428126958E-001                  7.8134812508956486E-008                  9.9999999942024997E-001                  9.9999999836061637E-001                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  2.9079279663606204E+032                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.2059890339437329E+000                 -3.7975563820958300E+001                 -9.8999999999999986E+001                  1.2059890339437327E+000                  3.9553678348489330E+000                  1.2053521393806852E+000                  2.1519923644510314E-001                  1.6413425809729432E+000                  4.3085068024605757E+000                  2.0347300660750570E+004                  7.3260483417946372E+000                  1.8047190305410938E+000                  1.7255084578392694E+001                  6.2656050875140956E-001                  8.4326584356735146E-001                  1.3140553258907253E+000                  6.8654468761764720E-001                  2.9294933862961076E-001                  3.1888637696719286E-005                  8.7976673687379346E-003                  6.9999999995907447E-001                  2.7997020236474879E-001                  3.4416106108119951E-003                  9.3376729792512964E-003                  1.3949611788231855E+000                  5.6448007734187255E-001                 -9.0054693286914578E+048                 -9.0123640901371564E+048                  1.0273333130902506E-010                                        0                                        0                                    10398                  8.4806625886453429E-023                  5.2853973831504121E-024 
                                      40                  9.7561297069560841E+007                  1.9996853276559028E+000                  9.3665421584211644E+006                  6.9715792922028514E+000                  3.3599640110616868E+001                 -1.1470752925631272E+001                                      987                  2.9792391646077876E-001                  1.4739424445389349E-001                  7.8144575588190435E-008                  9.9999999935774997E-001                  9.9999999816786089E-001                  1.4739424445389349E-001                  7.8144575588190435E-008                  9.9999999935774997E-001                  9.9999999816786089E-001                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  2.9043021636066857E+032                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.2148149148237883E+000                 -3.7794309941098703E+001                 -9.8999999999999986E+001                  1.2148149148237881E+000                  3.9505513784684205E+000                  1.2142509657424134E+000                  2.2928156238699210E-001                  1.6954366319854903E+000                  4.2802878886958249E+000                  1.9067242441678580E+004                  7.3272537296965039E+000                  1.8019350362514399E+000                  1.7241403243356483E+001                  6.4449362038964819E-001                  8.2564444512665203E-001                  1.3612672118475775E+000                  6.5130204627712185E-001                  3.2834717534308427E-001                  3.8260144977195067E-005                  7.5683326782273481E-003                  6.9999999995907447E-001                  2.7997020236474873E-001                  3.4416106108119951E-003                  9.3376729792512929E-003                  1.3823061322188639E+000                  5.7681607355899489E-001                 -8.8555809766337516E+048                 -8.8714008247823827E+048                  5.3610766546793868E-011                                        0                                        0                                    10398                  8.6573080864272726E-023                  5.2860577956882030E-024 
                                      50                  1.9062240592342064E+008                  1.9993512441172856E+000                  9.0982094718119130E+006                  6.9589559315491973E+000                  3.3599567547820783E+001                 -1.1423531453196899E+001                                      988                  2.8253055214241368E-001                  1.4099416653342101E-001                  7.8157632033004631E-008                  9.9999999923274996E-001                  9.9999999787012073E-001                  1.4099416653342101E-001                  7.8157632033004631E-008                  9.9999999923274996E-001                  9.9999999787012073E-001                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  2.8691304595122826E+032                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.2273567844717324E+000                 -3.7531836918831488E+001                 -9.8999999999999986E+001                  1.2273567844717324E+000                  3.9445993526343455E+000                  1.2267485726900933E+000                  2.4743441752898274E-001                  1.7678052426859472E+000                  4.2439096156157552E+000                  1.7535155261831256E+004                  7.3297083794708486E+000                  1.8025406888113689E+000                  1.7227891910872568E+001                  6.7002477287878637E-001                  8.0234345286321140E-001                  1.4291882228116872E+000                  6.0470030810026454E-001                  3.7510820677688783E-001                  4.5087418728812126E-005                  6.3090020549112277E-003                  6.9999999995907181E-001                  2.7997020236474834E-001                  3.4416106108119942E-003                  9.3376729792512946E-003                  1.3665335148586120E+000                  5.9223512393914068E-001                 -8.6751728693362364E+048                 -8.6926801826249969E+048                  6.0292751688806593E-011                                        0                                        0                                    10398                  8.9115457848683876E-023                  5.2869410746512746E-024 
                                      60                  2.8062935846725416E+008                  1.9989904633874356E+000                  8.8940165930604767E+006                  6.9490979353521647E+000                  3.3599489172788310E+001                 -1.1375383622223808E+001                                      983                  2.7325499427810407E-001                  1.3462703071186743E-001                  7.8171738193688611E-008                  9.9999999909212500E-001                  9.9999999750667756E-001                  1.3462703071186743E-001                  7.8171738193688611E-008                  9.9999999909212500E-001                  9.9999999750667756E-001                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  2.8132415129651432E+032                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.2402094591345492E+000                 -3.7242383058514243E+001                 -9.8999999999999986E+001                  1.2402094591345492E+000                  3.9384144940372079E+000                  1.2395967365164100E+000                  2.6622821663641566E-001                  1.8459852078411112E+000                  4.2062436423684195E+000                  1.6078430116862035E+004                  7.3329844496927405E+000                  1.8061543762398096E+000                  1.7216808194124276E+001                  6.9847861257417077E-001                  7.7790858912093452E-001                  1.5081181775070744E+000                  5.5583083173239312E-001                  4.2410755173081915E-001                  5.0978080237532580E-005                  5.2839343821412055E-003                  6.9999999995905893E-001                  2.7997020236474834E-001                  3.4416106108119938E-003                  9.3376729792512946E-003                  1.3507848026148690E+000                  6.0761754589782424E-001                 -8.4965359254283066E+048                 -8.5143604113735649E+048                  6.7122679948212838E-011                                        0                                        0                                    10398                  9.1807800232666166E-023                  5.2878952695283947E-024 
                                      70                  3.6710279137971473E+008                  1.9986028249018861E+000                  8.4290187597086728E+006                  6.9257770204079749E+000                  3.3599404947483919E+001                 -1.1326360596702408E+001                                      977                  2.6296924516126502E-001                  1.3146503250292385E-001                  7.8186899399312892E-008                  9.9999999898275005E-001                  9.9999999705879072E-001                  1.3146503250292385E-001                  7.8186899399312892E-008                  9.9999999898275005E-001                  9.9999999705879072E-001                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  2.7480194334397000E+032                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.2528741522052458E+000                 -3.6935782576004875E+001                 -9.8999999999999986E+001                  1.2528741522052456E+000                  3.9318131429635814E+000                  1.2522467885686921E+000                  2.8575594480980893E-001                  1.9308829372665268E+000                  4.1671039607172391E+000                  1.4692779489522321E+004                  7.3368822327330019E+000                  1.8121193876052846E+000                  1.7207458134585099E+001                  7.2968533225911736E-001                  7.5266321890746546E-001                  1.5993946783737043E+000                  5.0534032490810432E-001                  4.7470464640496773E-001                  5.6140688308346085E-005                  4.4437215242812064E-003                  6.9999999995901574E-001                  2.7997020236474873E-001                  3.4416106108119959E-003                  9.3376729792512929E-003                  1.3351606132277316E+000                  6.2285189049057443E-001                 -8.3160935601045078E+048                 -8.3340567883860821E+048                  7.6830626035716593E-011                                        0                                        0                                    10398                  9.4539621435928426E-023                  5.2889208818653942E-024 
                                      80                  4.4853428391836506E+008                  1.9981938741316418E+000                  7.8516462734149257E+006                  6.8949607258535455E+000                  3.3599316073779853E+001                 -1.1276602444386810E+001                                      977                  2.5115308899220196E-001                  1.2358000874405284E-001                  7.8202899933543790E-008                  9.9999999875228129E-001                  9.9999999649640203E-001                  1.2358000874405284E-001                  7.8202899933543790E-008                  9.9999999875228129E-001                  9.9999999649640203E-001                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  2.6963537927493847E+032                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.2648251292292088E+000                 -3.6613171553072092E+001                 -1.3972318537151434E+001                  1.2648251292292090E+000                  3.9245824926544168E+000                  1.2641600817579548E+000                  3.0617389202276929E-001                  2.0238293601313826E+000                  4.1261791925872586E+000                  1.3371471179062346E+004                  7.3413425911305703E+000                  1.8205306732402071E+000                  1.7199555484721071E+001                  7.6522805594525789E-001                  7.2662741851668156E-001                  1.7058880073811569E+000                  4.5326894537084816E-001                  5.2686469042727746E-001                  6.0830792961958376E-005                  3.7459689802054274E-003                  6.9999999995890494E-001                  2.7997020236474873E-001                  3.4416106108119951E-003                  9.3376729792512964E-003                  1.3199830113647379E+000                  6.3761811258901024E-001                 -8.1301767539468243E+048                 -8.1487582583445432E+048                  8.9480318575964478E-011                                        0                                        0                                    10398                  9.7188756572681665E-023                  5.2900033135034904E-024 
